Display,Topic,Type,Answer Type,PMI System,PMI Code,Parent code,Date of Last Update
Irritable bowel syndrome (IBS),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_IrritableBowelSyndrome,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_LiverCondition,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Peptic (stomach) ulcers,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_PepticUlcers,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Ulcerative colitis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_UlcerativeColitis,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Hyperthyroidism,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonEndocrineCondition_Hyperthyroidism,DiagnosedHealthCondition_SonEndocrineCondition,4/24/2017
Hypothyroidism,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonEndocrineCondition_Hypothyroidism,DiagnosedHealthCondition_SonEndocrineCondition,4/24/2017
Other/unknown diabetes (This includes gestational diabetes (diabetes during pregnancy) and borderline diabetes (pre-diabetes).),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonEndocrineCondition_OtherDiabetes,DiagnosedHealthCondition_SonEndocrineCondition,4/24/2017
Other or unknown thyroid condition,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonEndocrineCondition_OtherThyroidCondition,DiagnosedHealthCondition_SonEndocrineCondition,4/24/2017
"Type 1 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonEndocrineCondition_Type1Diabetes,DiagnosedHealthCondition_SonEndocrineCondition,4/24/2017
"Type 2 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonEndocrineCondition_Type2Diabetes,DiagnosedHealthCondition_SonEndocrineCondition,4/24/2017
Kidney disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonKidneyCondition_KidneyDisease,DiagnosedHealthCondition_SonKidneyCondition,4/24/2017
Kidney stones,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonKidneyCondition_KidneyStones,DiagnosedHealthCondition_SonKidneyCondition,4/24/2017
Addiction to alcohol or drugs,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_Addiction,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Alcohol use disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_AlcoholUse,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Anxiety reaction/panic disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_AnxietyPanic,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Autsm spectrum disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_Autism,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Bipolar disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_Bipolar,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Depression,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_Depression,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Drug use disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_DrugUse,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Schizophrenia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonMentalCondition_Schizophrenia,DiagnosedHealthCondition_SonMentalCondition,4/24/2017
Amyotrophic lateral sclerosis (Lou Gehrig’s disease),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_AmyotrophicLateralSclerosis,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
"Dementia (includes Alzheimer's, vascular, etc.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_Dementia,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Epilepsy/seizure,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_EpilepsySeizure,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Insomnia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_Insomnia,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Migraine headaches,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_MigraineHeadaches,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Multiple sclerosis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_MultipleSclerosis,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Muscular dystrophy,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_MuscularDystrophy,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Narcolepsy,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_Narcolepsy,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Neuropathy,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_Neuropathy,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Other types of headaches,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_OtherHeadaches,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Parkinson's disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_Parkinsons,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Restless legs syndrome,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonNervousCondition_RestlessLegsSyndrome,DiagnosedHealthCondition_SonNervousCondition,4/24/2017
Allergies or hay fever,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_Allergies,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
Anemia (low number of red blood cells),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_Anemia,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
Hearing loss,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_HearingLoss,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_LiverCondition,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
I do not have any sons related by blood.,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_NoSonsRelated,DiagnosedHealthCondition_SonNoSelection,6/29/2018
I do not have any sons related by blood.,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_NoSonsRelatedBlood,DiagnosedHealthCondition_SonOtherHealthCondition,
Obesity,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_Obesity,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
Other,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_OtherCondition,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
Reactions to anesthesia (such as hyperthermia),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_ReactionsToAnesthesia,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
"Sickle cell disease, sickle cell trait, thalassemia",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_SickleCell,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
"Skin condition (e.g., eczema, psoriasis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonOtherHealthCondition_SkinCondition,DiagnosedHealthCondition_SonOtherHealthCondition,4/24/2017
Asthma,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonRespiratoryCondition_Asthma,DiagnosedHealthCondition_SonRespiratoryCondition,4/24/2017
"Chronic lung disease (COPD, emphysema or bronchitis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonRespiratoryCondition_ChronicLungDisease,DiagnosedHealthCondition_SonRespiratoryCondition,4/24/2017
Sleep apnea,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonRespiratoryCondition_SleepApnea,DiagnosedHealthCondition_SonRespiratoryCondition,4/24/2017
Fibromyalgia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_Fibromyalgia,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Gout,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_Gout,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Osteoarthriris,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_Osteoarthritis,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Osteoporosis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_Osteoporosis,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Pseudogout,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_Pseudogout,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Rheumatoid arthritis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_RheumatoidArthritis,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Spine muscle or bone disorders,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_SpineMuscleBone,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Systemic Lupus,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonSkeletalMuscularCondition_SystemicLupus,DiagnosedHealthCondition_SonSkeletalMuscularCondition,4/24/2017
Cataracts,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonVisionCondition_Cataracts,DiagnosedHealthCondition_SonVisionCondition,4/24/2017
Glaucoma,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonVisionCondition_Glaucoma,DiagnosedHealthCondition_SonVisionCondition,4/24/2017
Hearing loss,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonVisionCondition_HearingLoss,DiagnosedHealthCondition_SonVisionCondition,4/24/2017
Macular degeneration,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonVisionCondition_MacularDegeneration,DiagnosedHealthCondition_SonVisionCondition,4/24/2017
Cancer:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentCancerCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Circulatory System Conditions:,Grandparent History,Question,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentCirculatoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Digestive System Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentDigestiveCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Endocrine Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentEndocrineCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Kidney-Related Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentKidneyCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Mental Health Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentMentalCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Nervous System Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentNervousCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Other selection,Grandparent History,Question,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentNoSelection,FamilyMembersDiagnosed_Grandparents,6/29/2018
Other Conditions,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentOtherHealthCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Respiratory Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentRespiratoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Skeletal/Muscular Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentSkeletalMuscularCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Vision Conditions:,Grandparent History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_GrandparentVisionCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Grandparent History,Grandparent History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyHistory_GrandparentHistory,FamilyHistory,4/24/2017
Please indicate if your grandparent(s) have ever been diagnosed with the following health conditions and/or health events. Think only of those people you are related to by blood. (select all that apply),Grandparent History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_Grandparents,FamilyHistory,6/29/2018
Bladder cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_BladderCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Blood or soft tissue cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_BloodCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Bone cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_BoneCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Brain cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_BrainCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Breast cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_BreastCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Cervical cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_CervicalCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Colon cancer/Rectal cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_ColonRectalCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Endocrine cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_EndocrineCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Endometrial cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_EndometrialCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Esophageal cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_EsophagealCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Eye cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_EyeCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
"Head and neck (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_HeadNeckCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Kidney cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_KidneyCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Lung cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_LungCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Other cancer (Please specify: (free text answer)),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_OtherCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Ovarian Cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_OvarianCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Pancreatic cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_PancreaticCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Prostate cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_ProstateCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Skin cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_SkinCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Stomach cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_StomachCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Thyroid cancer,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCancerCondition_ThyroidCancer,DiagnosedHealthCondition_GrandparentCancerCondition,4/24/2017
Anemia,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_Anemia,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Aortic aneurysm,Grandparent History,Answer,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_AorticAneurysm,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
"Atrial fibrillation (or a-fib) or atrial flutter (or a-flutter). (These conditions cause irregular, often fast, heart beats that can cause poor blood flow. A-fib and a-flutter are not the same as a heart murmur.)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_AtrialFibrilation,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Congestive heart failure,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_CongestiveHeartFailure,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Coronary artery/coronary heart disease (included angina),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_CoronaryArteryHeartDisease,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Heart attack,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_HeartAttack,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Heart Valve Disease,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_HeartValveDisease,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
High blood pressure (Hypertension),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_HighBloodPressure,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
High cholesterol,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_HighCholesterol,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Peripheral Vascular Disease,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_PeripheralVascularDisease,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Pulmonary embolism or deep vein thrombosis (DVT),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_PulmonaryEmbolismThrombosis,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Sickle Cell Disease,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_SickleCellDisease,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Stroke,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_Stroke,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
Sudden death,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentCirculatoryCondition_SuddenDeath,DiagnosedHealthCondition_GrandparentCirculatoryCondition,4/24/2017
No,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDiagnosisHistory_No,GrandparentHistory_GrandparentDiagnosisHistory,4/24/2017
"If so, which conditions (Free Text)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDiagnosisHistory_WhichConditions,GrandparentHistory_GrandparentDiagnosisHistory,4/24/2017
Yes,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDiagnosisHistory_Yes,GrandparentHistory_GrandparentDiagnosisHistory,4/24/2017
Acid reflux/GERD,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_AcidReflux,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Celiac Disease,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_CeliacDisease,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Colon polyps,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_ColonPolyps,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Crohn's disease,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_CrohnsDisease,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Diverticulitis,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_Diverticulitis,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Gall Stones,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_GallStones,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Irritable bowel syndrome (IBS),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_IrritableBowelSyndrome,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_LiverCondition,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Peptic (stomach) ulcers,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_PepticUlcers,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Ulcerative colitis,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentDigestiveCondition_UlcerativeColitis,DiagnosedHealthCondition_GrandparentDigestiveCondition,4/24/2017
Hyperthyroidism,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentEndocrineCondition_Hyperthyroidism,DiagnosedHealthCondition_GrandparentEndocrineCondition,4/24/2017
Hypothyroidism,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentEndocrineCondition_Hypothyroidism,DiagnosedHealthCondition_GrandparentEndocrineCondition,4/24/2017
Other/unknown diabetes (This includes gestational diabetes (diabetes during pregnancy) and borderline diabetes (pre-diabetes).),Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentEndocrineCondition_OtherDiabetes,DiagnosedHealthCondition_GrandparentEndocrineCondition,4/24/2017
Other or unknown thyroid condition,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentEndocrineCondition_OtherThyroidCondition,DiagnosedHealthCondition_GrandparentEndocrineCondition,4/24/2017
"Type 1 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentEndocrineCondition_Type1Diabetes,DiagnosedHealthCondition_GrandparentEndocrineCondition,4/24/2017
"Type 2 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentEndocrineCondition_Type2Diabetes,DiagnosedHealthCondition_GrandparentEndocrineCondition,4/24/2017
Have any of your grandparents ever been diagnosed with any other health conditions?,Grandparent History,Question,boolean,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentHistory_GrandparentDiagnosisHistory,FamilyHistory_GrandparentHistory,4/24/2017
Kidney disease,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentKidneyCondition_KidneyDisease,DiagnosedHealthCondition_GrandparentKidneyCondition,4/24/2017
Kidney stones,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentKidneyCondition_KidneyStones,DiagnosedHealthCondition_GrandparentKidneyCondition,4/24/2017
Addiction to alcohol or drugs,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_Addiction,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
Alcohol use disorder,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_AlcoholUse,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
Anxiety reaction/panic disorder,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_AnxietyPanic,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
Autsm spectrum disorder,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_Autism,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
Bipolar disorder,Grandparent History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GrandparentMentalCondition_Bipolar,DiagnosedHealthCondition_GrandparentMentalCondition,4/24/2017
